Question,Answer
"Which planet is known as the ""Red Planet""?
A) Venus
B) Mars
C) Mercury
D) Jupiter",Mars
"What is the currency of Australia?

A) Euro
B) Dollar
C) Pound
D) Yen",Dollar
"Who painted the Mona Lisa?

A) Vincent van Gogh
B) Pablo Picasso
C) Leonardo da Vinci
D) Michelangelo", Leonardo da Vinci
"What is the largest mammal in the world?

A) Elephant
B) Blue Whale
C) Giraffe
D) Polar Bear",Blue Whale
" In what year did the first manned moon landing occur?

A) 1969
B) 1975
C) 1982
D) 1958",1969
"Which element has the chemical symbol 'O'?

A) Oxygen
B) Gold
C) Iron
D) Sodium",Oxygen
"What is the capital city of Japan?

A) Beijing
B) Tokyo
C) Seoul
D) Bangkok",Tokyo
" Who wrote the play ""Romeo and Juliet""?

A) Charles Dickens
B) William Shakespeare
C) Jane Austen
D) Mark Twain",William Shakespeare
" In which year did the Titanic sink?

A) 1912
B) 1923
C) 1905
D) 1931",1912
"What is the largest planet in our solar system?

A) Mars
B) Jupiter
C) Earth
D) Saturn",Jupiter
,
,
